,stimuli,is_train,pitch,tone,time,cluster,label,rle_label,phoneme,label_all,speaker
42,esuko-LLH-3.wav,True,121.61073893267181,0.6314471672741517,42,2,H,H1,esuko,LLH,3.wav
43,esuko-LLH-3.wav,True,123.0410702063043,0.7326631126841117,43,2,H,H1,esuko,LLH,3.wav
44,esuko-LLH-3.wav,True,125.11177375173929,0.8771287426058956,44,2,H,H1,esuko,LLH,3.wav
45,esuko-LLH-3.wav,True,126.4706753548945,0.9706408143943961,45,2,H,H1,esuko,LLH,3.wav
46,esuko-LLH-3.wav,True,127.09681743539501,1.013390801021512,46,2,H,H1,esuko,LLH,3.wav
47,esuko-LLH-3.wav,True,,,47,2,H,H1,esuko,LLH,3.wav
48,esuko-LLH-3.wav,True,,,48,2,H,H1,esuko,LLH,3.wav
49,esuko-LLH-3.wav,True,,,49,2,H,H1,esuko,LLH,3.wav
50,esuko-LLH-3.wav,True,,,50,2,H,H1,esuko,LLH,3.wav
0,etsuto-LHH-1.wav,True,59.9393566032479,-6.740613403459087,0,0,L,L1,etsuto,LHH,1.wav
1,etsuto-LHH-1.wav,True,113.95961336577926,-1.1789306286532477,1,0,L,L1,etsuto,LHH,1.wav
2,etsuto-LHH-1.wav,True,114.64308503372676,-1.1271703932304376,2,0,L,L1,etsuto,LHH,1.wav
3,etsuto-LHH-1.wav,True,115.06940870946163,-1.0950403641353288,3,0,L,L1,etsuto,LHH,1.wav
4,etsuto-LHH-1.wav,True,114.79293485679565,-1.115863312809723,4,0,L,L1,etsuto,LHH,1.wav
5,etsuto-LHH-1.wav,True,110.79317112231954,-1.422852650571227,5,0,L,L1,etsuto,LHH,1.wav
6,etsuto-LHH-1.wav,True,101.75609223496883,-2.1593753856094517,6,0,L,L1,etsuto,LHH,1.wav
7,etsuto-LHH-1.wav,True,,,7,0,L,L1,etsuto,LHH,1.wav
8,etsuto-LHH-1.wav,True,,,8,0,L,L1,etsuto,LHH,1.wav
9,etsuto-LHH-1.wav,True,,,9,0,L,L1,etsuto,LHH,1.wav
10,etsuto-LHH-1.wav,True,,,10,0,L,L1,etsuto,LHH,1.wav
11,etsuto-LHH-1.wav,True,,,11,0,L,L1,etsuto,LHH,1.wav
12,etsuto-LHH-1.wav,True,,,12,0,L,L1,etsuto,LHH,1.wav
13,etsuto-LHH-1.wav,True,140.1065591955902,0.609080568021378,13,0,L,L1,etsuto,LHH,1.wav
14,etsuto-LHH-1.wav,True,135.56442698377018,0.3238055102981905,14,1,H,H2,etsuto,LHH,1.wav
15,etsuto-LHH-1.wav,True,133.4130326070452,0.1853312071837314,15,1,H,H2,etsuto,LHH,1.wav
16,etsuto-LHH-1.wav,True,129.9751586539131,-0.04065092384086483,16,1,H,H2,etsuto,LHH,1.wav
17,etsuto-LHH-1.wav,True,128.34812540572884,-0.14969307297676523,17,1,H,H2,etsuto,LHH,1.wav
18,etsuto-LHH-1.wav,True,126.59942626820151,-0.2684412212277063,18,1,H,H2,etsuto,LHH,1.wav
19,etsuto-LHH-1.wav,True,124.1208707567732,-0.43959208276862705,19,1,H,H2,etsuto,LHH,1.wav
20,etsuto-LHH-1.wav,True,119.24877116574532,-0.7862200235231653,20,1,H,H2,etsuto,LHH,1.wav
21,etsuto-LHH-1.wav,True,115.65583818464974,-1.0510378600875014,21,1,H,H2,etsuto,LHH,1.wav
22,etsuto-LHH-1.wav,True,,,22,1,H,H2,etsuto,LHH,1.wav
23,etsuto-LHH-1.wav,True,,,23,1,H,H2,etsuto,LHH,1.wav
24,etsuto-LHH-1.wav,True,,,24,1,H,H2,etsuto,LHH,1.wav
25,etsuto-LHH-1.wav,True,,,25,1,H,H2,etsuto,LHH,1.wav
26,etsuto-LHH-1.wav,True,146.7955682240052,1.0127840609033805,26,1,H,H2,etsuto,LHH,1.wav
27,etsuto-LHH-1.wav,True,144.62384951563004,0.8837664750382441,27,1,H,H2,etsuto,LHH,1.wav
28,etsuto-LHH-1.wav,True,139.9352353677151,0.5984892317638812,28,2,H,H2,etsuto,LHH,1.wav
29,etsuto-LHH-1.wav,True,136.39245882376628,0.37651685609085,29,2,H,H2,etsuto,LHH,1.wav
30,etsuto-LHH-1.wav,True,134.52382065967006,0.25710353307564104,30,2,H,H2,etsuto,LHH,1.wav
31,etsuto-LHH-1.wav,True,133.05432792949796,0.1620262093337722,31,2,H,H2,etsuto,LHH,1.wav
32,etsuto-LHH-1.wav,True,132.05017272767222,0.0964507104051153,32,2,H,H2,etsuto,LHH,1.wav
33,etsuto-LHH-1.wav,True,130.92376627519903,0.02229563872283767,33,2,H,H2,etsuto,LHH,1.wav
34,etsuto-LHH-1.wav,True,130.5341953320116,-0.003499673698756518,34,2,H,H2,etsuto,LHH,1.wav
35,etsuto-LHH-1.wav,True,130.58698073674188,0.0,35,2,H,H2,etsuto,LHH,1.wav
36,etsuto-LHH-1.wav,True,131.24229601918773,0.04333000926489108,36,2,H,H2,etsuto,LHH,1.wav
37,etsuto-LHH-1.wav,True,132.1735065493414,0.10453173204431125,37,2,H,H2,etsuto,LHH,1.wav
38,etsuto-LHH-1.wav,True,130.77113276062056,0.012198217320887564,38,2,H,H2,etsuto,LHH,1.wav
39,etsuto-LHH-1.wav,True,,,39,2,H,H2,etsuto,LHH,1.wav
40,etsuto-LHH-1.wav,True,,,40,2,H,H2,etsuto,LHH,1.wav
0,etsu-HL-1.wav,True,128.2408221323506,0.28112801433142104,0,0,H,H1,etsu,HL,1.wav
1,etsu-HL-1.wav,True,130.63154437280804,0.44101442755929215,1,0,H,H1,etsu,HL,1.wav
2,etsu-HL-1.wav,True,129.77977710195415,0.38438809689299785,2,0,H,H1,etsu,HL,1.wav
3,etsu-HL-1.wav,True,128.43202792151843,0.2940246659931965,3,0,H,H1,etsu,HL,1.wav
4,etsu-HL-1.wav,True,125.38348031532199,0.08607822228545094,4,0,H,H1,etsu,HL,1.wav
5,etsu-HL-1.wav,True,124.14282749848184,0.0,5,0,H,H1,etsu,HL,1.wav
6,etsu-HL-1.wav,True,124.2338282575566,0.006342931833547342,6,0,H,H1,etsu,HL,1.wav
7,etsu-HL-1.wav,True,123.11617149935195,-0.07188381591371437,7,0,H,H1,etsu,HL,1.wav
8,etsu-HL-1.wav,True,,,8,0,H,H1,etsu,HL,1.wav
9,etsu-HL-1.wav,True,,,9,0,H,H1,etsu,HL,1.wav
10,etsu-HL-1.wav,True,,,10,0,H,H1,etsu,HL,1.wav
11,etsu-HL-1.wav,True,,,11,0,H,H1,etsu,HL,1.wav
12,etsu-HL-1.wav,True,,,12,0,H,H1,etsu,HL,1.wav
13,etsu-HL-1.wav,True,,,13,0,H,H1,etsu,HL,1.wav
14,etsu-HL-1.wav,True,,,14,0,H,H1,etsu,HL,1.wav
15,etsu-HL-1.wav,True,,,15,1,L,L1,etsu,HL,1.wav
16,etsu-HL-1.wav,True,,,16,1,L,L1,etsu,HL,1.wav
17,etsu-HL-1.wav,True,,,17,1,L,L1,etsu,HL,1.wav
18,etsu-HL-1.wav,True,,,18,1,L,L1,etsu,HL,1.wav
19,etsu-HL-1.wav,True,,,19,1,L,L1,etsu,HL,1.wav
20,etsu-HL-1.wav,True,,,20,1,L,L1,etsu,HL,1.wav
21,etsu-HL-1.wav,True,101.64157044254847,-1.7310620341398584,21,1,L,L1,etsu,HL,1.wav
22,etsu-HL-1.wav,True,102.91097642831042,-1.623624257860676,22,1,L,L1,etsu,HL,1.wav
23,etsu-HL-1.wav,True,99.76985200151853,-1.8919504257092459,23,1,L,L1,etsu,HL,1.wav
24,etsu-HL-1.wav,True,97.2038884505233,-2.1174898691971156,24,1,L,L1,etsu,HL,1.wav
25,etsu-HL-1.wav,True,93.96333720225955,-2.4109863140511734,25,1,L,L1,etsu,HL,1.wav
26,etsu-HL-1.wav,True,,,26,1,L,L1,etsu,HL,1.wav
27,etsu-HL-1.wav,True,,,27,1,L,L1,etsu,HL,1.wav
28,etsu-HL-1.wav,True,,,28,1,L,L1,etsu,HL,1.wav
29,etsu-HL-1.wav,True,,,29,1,L,L1,etsu,HL,1.wav
0,etsu-LL-3.wav,True,133.23229962899276,0.47522301302632497,0,0,L,L2,etsu,LL,3.wav
1,etsu-LL-3.wav,True,131.50458607813573,0.3622384176471346,1,0,L,L2,etsu,LL,3.wav
2,etsu-LL-3.wav,True,126.9827335009845,0.05935377860250072,2,0,L,L2,etsu,LL,3.wav
3,etsu-LL-3.wav,True,126.70528278552891,0.04041980118897642,3,0,L,L2,etsu,LL,3.wav
4,etsu-LL-3.wav,True,127.283890935672,0.07985879966130421,4,0,L,L2,etsu,LL,3.wav
5,etsu-LL-3.wav,True,126.83600386669667,0.04934571655721414,5,0,L,L2,etsu,LL,3.wav
6,etsu-LL-3.wav,True,121.62071065570899,-0.3141067113355601,6,0,L,L2,etsu,LL,3.wav
7,etsu-LL-3.wav,True,127.13256244075164,0.0695613102332586,7,0,L,L2,etsu,LL,3.wav
8,etsu-LL-3.wav,True,125.84504777771063,-0.01854958887366658,8,0,L,L2,etsu,LL,3.wav
9,etsu-LL-3.wav,True,,,9,0,L,L2,etsu,LL,3.wav
10,etsu-LL-3.wav,True,,,10,0,L,L2,etsu,LL,3.wav
11,etsu-LL-3.wav,True,,,11,0,L,L2,etsu,LL,3.wav
12,etsu-LL-3.wav,True,,,12,0,L,L2,etsu,LL,3.wav
13,etsu-LL-3.wav,True,,,13,0,L,L2,etsu,LL,3.wav
14,etsu-LL-3.wav,True,,,14,0,L,L2,etsu,LL,3.wav
15,etsu-LL-3.wav,True,,,15,0,L,L2,etsu,LL,3.wav
16,etsu-LL-3.wav,True,,,16,0,L,L2,etsu,LL,3.wav
17,etsu-LL-3.wav,True,,,17,1,L,L2,etsu,LL,3.wav
18,etsu-LL-3.wav,True,,,18,1,L,L2,etsu,LL,3.wav
19,etsu-LL-3.wav,True,,,19,1,L,L2,etsu,LL,3.wav
20,etsu-LL-3.wav,True,,,20,1,L,L2,etsu,LL,3.wav
21,etsu-LL-3.wav,True,132.98048606183312,0.4588470771232581,21,1,L,L2,etsu,LL,3.wav
22,etsu-LL-3.wav,True,128.9929554036078,0.19531341464692334,22,1,L,L2,etsu,LL,3.wav
23,etsu-LL-3.wav,True,125.65408188807992,-0.03169503054241984,23,1,L,L2,etsu,LL,3.wav
24,etsu-LL-3.wav,True,124.56138836443982,-0.10729867954935417,24,1,L,L2,etsu,LL,3.wav
25,etsu-LL-3.wav,True,123.95408241657302,-0.14960553572855725,25,1,L,L2,etsu,LL,3.wav
26,etsu-LL-3.wav,True,122.75476677489905,-0.23376597168561708,26,1,L,L2,etsu,LL,3.wav
27,etsu-LL-3.wav,True,123.77408786037687,-0.16218435382665936,27,1,L,L2,etsu,LL,3.wav
28,etsu-LL-3.wav,True,125.57277281675006,-0.03729813526880627,28,1,L,L2,etsu,LL,3.wav
29,etsu-LL-3.wav,True,127.39575201163579,0.0874627727816481,29,1,L,L2,etsu,LL,3.wav
30,etsu-LL-3.wav,True,125.30303328163372,-0.055912223840559216,30,1,L,L2,etsu,LL,3.wav
31,etsu-LL-3.wav,True,121.26761646646132,-0.339274207889029,31,1,L,L2,etsu,LL,3.wav
32,etsu-LL-3.wav,True,121.25029745195803,-0.34051053996738534,32,1,L,L2,etsu,LL,3.wav
33,etsu-LL-3.wav,True,126.38498098658165,0.018509923341514405,33,1,L,L2,etsu,LL,3.wav
0,etsuto-LLH-1.wav,True,65.63748750263024,-5.682420670157096,0,0,L,L2,etsuto,LLH,1.wav
1,etsuto-LLH-1.wav,True,122.78101050563234,-0.2614475044656894,1,0,L,L2,etsuto,LLH,1.wav
2,etsuto-LLH-1.wav,True,122.95988538328763,-0.24884584399351561,2,0,L,L2,etsuto,LLH,1.wav
3,etsuto-LLH-1.wav,True,121.25466900588815,-0.3697303931973406,3,0,L,L2,etsuto,LLH,1.wav
4,etsuto-LLH-1.wav,True,120.03462664318066,-0.45726833700287056,4,0,L,L2,etsuto,LLH,1.wav
5,etsuto-LLH-1.wav,True,118.24892216151305,-0.587009995232457,5,0,L,L2,etsuto,LLH,1.wav
6,etsuto-LLH-1.wav,True,110.717554658072,-1.1566682882209827,6,0,L,L2,etsuto,LLH,1.wav
7,etsuto-LLH-1.wav,True,108.21055029429786,-1.354925202035399,7,0,L,L2,etsuto,LLH,1.wav
8,etsuto-LLH-1.wav,True,,,8,0,L,L2,etsuto,LLH,1.wav
9,etsuto-LLH-1.wav,True,,,9,0,L,L2,etsuto,LLH,1.wav
10,etsuto-LLH-1.wav,True,,,10,0,L,L2,etsuto,LLH,1.wav
11,etsuto-LLH-1.wav,True,,,11,0,L,L2,etsuto,LLH,1.wav
12,etsuto-LLH-1.wav,True,,,12,0,L,L2,etsuto,LLH,1.wav
13,etsuto-LLH-1.wav,True,,,13,0,L,L2,etsuto,LLH,1.wav
14,etsuto-LLH-1.wav,True,141.4851515388345,0.9659317297291754,14,1,L,L2,etsuto,LLH,1.wav
15,etsuto-LLH-1.wav,True,126.54601111644322,0.0,15,1,L,L2,etsuto,LLH,1.wav
16,etsuto-LLH-1.wav,True,124.0109607575682,-0.1751663595210167,16,1,L,L2,etsuto,LLH,1.wav
17,etsuto-LLH-1.wav,True,119.71792333490369,-0.4801372437027143,17,1,L,L2,etsuto,LLH,1.wav
18,etsuto-LLH-1.wav,True,116.89245575873672,-0.6868812681637048,18,1,L,L2,etsuto,LLH,1.wav
19,etsuto-LLH-1.wav,True,114.82305085558815,-0.8414984336532211,19,1,L,L2,etsuto,LLH,1.wav
20,etsuto-LLH-1.wav,True,113.56248470390467,-0.9370542751912964,20,1,L,L2,etsuto,LLH,1.wav
21,etsuto-LLH-1.wav,True,111.82548677097448,-1.0704779659898662,21,1,L,L2,etsuto,LLH,1.wav
22,etsuto-LLH-1.wav,True,107.80532346382111,-1.3874016722703741,22,1,L,L2,etsuto,LLH,1.wav
23,etsuto-LLH-1.wav,True,,,23,1,L,L2,etsuto,LLH,1.wav
24,etsuto-LLH-1.wav,True,,,24,1,L,L2,etsuto,LLH,1.wav
25,etsuto-LLH-1.wav,True,,,25,1,L,L2,etsuto,LLH,1.wav
26,etsuto-LLH-1.wav,True,,,26,1,L,L2,etsuto,LLH,1.wav
27,etsuto-LLH-1.wav,True,140.43200121237197,0.9012581840601843,27,2,H,H1,etsuto,LLH,1.wav
28,etsuto-LLH-1.wav,True,140.12773118799768,0.8824827586518367,28,2,H,H1,etsuto,LLH,1.wav
29,etsuto-LLH-1.wav,True,137.5885722496133,0.7241916949987695,29,2,H,H1,etsuto,LLH,1.wav
30,etsuto-LLH-1.wav,True,135.9630488719439,0.6213155163970175,30,2,H,H1,etsuto,LLH,1.wav
31,etsuto-LLH-1.wav,True,135.20664185572295,0.5730239475886832,31,2,H,H1,etsuto,LLH,1.wav
32,etsuto-LLH-1.wav,True,135.6685749001098,0.6025473199977684,32,2,H,H1,etsuto,LLH,1.wav
33,etsuto-LLH-1.wav,True,136.9334672536735,0.6828783552906187,33,2,H,H1,etsuto,LLH,1.wav
34,etsuto-LLH-1.wav,True,138.2921776561746,0.7683451300767359,34,2,H,H1,etsuto,LLH,1.wav
35,etsuto-LLH-1.wav,True,140.21187214172733,0.8876788738871306,35,2,H,H1,etsuto,LLH,1.wav
36,etsuto-LLH-1.wav,True,141.9144117927714,0.992154442535007,36,2,H,H1,etsuto,LLH,1.wav
37,etsuto-LLH-1.wav,True,142.34054082446195,1.018107539738983,37,2,H,H1,etsuto,LLH,1.wav
38,etsuto-LLH-1.wav,True,140.59082705477056,0.9110426110835649,38,2,H,H1,etsuto,LLH,1.wav
39,etsuto-LLH-1.wav,True,135.36585966810568,0.5832113586625473,39,2,H,H1,etsuto,LLH,1.wav
40,etsuto-LLH-1.wav,True,175.6741667500012,2.8394401378806493,40,2,H,H1,etsuto,LLH,1.wav
0,esuko-HLL-1.wav,True,142.8430122737992,2.2933149565425506,0,0,H,H1,esuko,HLL,1.wav
1,esuko-HLL-1.wav,True,141.48111023093455,2.2103888509552796,1,0,H,H1,esuko,HLL,1.wav
2,esuko-HLL-1.wav,True,141.47793536625798,2.210194602567923,2,0,H,H1,esuko,HLL,1.wav
3,esuko-HLL-1.wav,True,141.91549446965487,2.2369248560066093,3,0,H,H1,esuko,HLL,1.wav
4,esuko-HLL-1.wav,True,141.81630518743546,2.230872666231489,4,0,H,H1,esuko,HLL,1.wav
5,esuko-HLL-1.wav,True,139.83619912202886,2.1091594392033723,5,0,H,H1,esuko,HLL,1.wav
6,esuko-HLL-1.wav,True,136.19094563817728,1.8805169314440735,6,0,H,H1,esuko,HLL,1.wav
7,esuko-HLL-1.wav,True,130.4271244102092,1.5061957729780449,7,0,H,H1,esuko,HLL,1.wav
8,esuko-HLL-1.wav,True,,,8,0,H,H1,esuko,HLL,1.wav
9,esuko-HLL-1.wav,True,,,9,0,H,H1,esuko,HLL,1.wav
10,esuko-HLL-1.wav,True,,,10,0,H,H1,esuko,HLL,1.wav
11,esuko-HLL-1.wav,True,,,11,0,H,H1,esuko,HLL,1.wav
12,esuko-HLL-1.wav,True,,,12,0,H,H1,esuko,HLL,1.wav
13,esuko-HLL-1.wav,True,,,13,0,H,H1,esuko,HLL,1.wav
14,esuko-HLL-1.wav,True,,,14,0,H,H1,esuko,HLL,1.wav
15,esuko-HLL-1.wav,True,,,15,1,L,L2,esuko,HLL,1.wav
16,esuko-HLL-1.wav,True,,,16,1,L,L2,esuko,HLL,1.wav
17,esuko-HLL-1.wav,True,127.49574628176566,1.3094268653008703,17,1,L,L2,esuko,HLL,1.wav
18,esuko-HLL-1.wav,True,123.8845472078235,1.060709640152802,18,1,L,L2,esuko,HLL,1.wav
19,esuko-HLL-1.wav,True,121.03331070095872,0.8591571369175919,19,1,L,L2,esuko,HLL,1.wav
20,esuko-HLL-1.wav,True,118.84597643826453,0.7012905467847703,20,1,L,L2,esuko,HLL,1.wav
21,esuko-HLL-1.wav,True,117.04404405374704,0.5690413159035465,21,1,L,L2,esuko,HLL,1.wav
22,esuko-HLL-1.wav,True,,,22,1,L,L2,esuko,HLL,1.wav
23,esuko-HLL-1.wav,True,,,23,1,L,L2,esuko,HLL,1.wav
24,esuko-HLL-1.wav,True,,,24,1,L,L2,esuko,HLL,1.wav
25,esuko-HLL-1.wav,True,,,25,1,L,L2,esuko,HLL,1.wav
26,esuko-HLL-1.wav,True,,,26,1,L,L2,esuko,HLL,1.wav
27,esuko-HLL-1.wav,True,,,27,1,L,L2,esuko,HLL,1.wav
28,esuko-HLL-1.wav,True,,,28,1,L,L2,esuko,HLL,1.wav
29,esuko-HLL-1.wav,True,,,29,1,L,L2,esuko,HLL,1.wav
30,esuko-HLL-1.wav,True,,,30,2,L,L2,esuko,HLL,1.wav
31,esuko-HLL-1.wav,True,102.15041107325892,-0.6090977623204276,31,2,L,L2,esuko,HLL,1.wav
32,esuko-HLL-1.wav,True,101.23869345979503,-0.686703057421551,32,2,L,L2,esuko,HLL,1.wav
33,esuko-HLL-1.wav,True,100.30074236265541,-0.7672741175067775,33,2,L,L2,esuko,HLL,1.wav
34,esuko-HLL-1.wav,True,99.46049514086751,-0.8400947105906971,34,2,L,L2,esuko,HLL,1.wav
35,esuko-HLL-1.wav,True,98.65820711157501,-0.9102019710397874,35,2,L,L2,esuko,HLL,1.wav
36,esuko-HLL-1.wav,True,98.29725640416778,-0.9419294917255627,36,2,L,L2,esuko,HLL,1.wav
37,esuko-HLL-1.wav,True,98.48625647547485,-0.9253019066934036,37,2,L,L2,esuko,HLL,1.wav
38,esuko-HLL-1.wav,True,98.2707208459142,-0.9442665591808695,38,2,L,L2,esuko,HLL,1.wav
39,esuko-HLL-1.wav,True,98.51716101146478,-0.9225860662223204,39,2,L,L2,esuko,HLL,1.wav
40,esuko-HLL-1.wav,True,99.35208159924044,-0.8495352216652892,40,2,L,L2,esuko,HLL,1.wav
41,esuko-HLL-1.wav,True,100.07058525309886,-0.7871599966234083,41,2,L,L2,esuko,HLL,1.wav
42,esuko-HLL-1.wav,True,100.26679093972766,-0.7702046945039828,42,2,L,L2,esuko,HLL,1.wav
43,esuko-HLL-1.wav,True,100.10343786525026,-0.784318690824488,43,2,L,L2,esuko,HLL,1.wav
0,esu-HL-1.wav,True,144.47943265311957,1.0114245555320216,0,0,H,H1,esu,HL,1.wav
1,esu-HL-1.wav,True,137.13498318678612,0.5598196599826741,1,0,H,H1,esu,HL,1.wav
2,esu-HL-1.wav,True,137.08936725454112,0.5569398334580139,2,0,H,H1,esu,HL,1.wav
3,esu-HL-1.wav,True,137.80510803354287,0.6020159524197369,3,0,H,H1,esu,HL,1.wav
4,esu-HL-1.wav,True,141.1622280285973,0.810364396018398,4,0,H,H1,esu,HL,1.wav
5,esu-HL-1.wav,True,144.30329275763398,1.0008650796546086,5,0,H,H1,esu,HL,1.wav
6,esu-HL-1.wav,True,143.60559563891857,0.9589115512653237,6,0,H,H1,esu,HL,1.wav
7,esu-HL-1.wav,True,140.7569316685073,0.7854755824059572,7,0,H,H1,esu,HL,1.wav
8,esu-HL-1.wav,True,136.6303552795137,0.52790802319476,8,0,H,H1,esu,HL,1.wav
9,esu-HL-1.wav,True,130.3518454343459,0.12070580561223336,9,0,H,H1,esu,HL,1.wav
10,esu-HL-1.wav,True,,,10,0,H,H1,esu,HL,1.wav
11,esu-HL-1.wav,True,,,11,0,H,H1,esu,HL,1.wav
12,esu-HL-1.wav,True,,,12,0,H,H1,esu,HL,1.wav
13,esu-HL-1.wav,True,,,13,0,H,H1,esu,HL,1.wav
14,esu-HL-1.wav,True,,,14,1,L,L1,esu,HL,1.wav
15,esu-HL-1.wav,True,,,15,1,L,L1,esu,HL,1.wav
16,esu-HL-1.wav,True,,,16,1,L,L1,esu,HL,1.wav
17,esu-HL-1.wav,True,,,17,1,L,L1,esu,HL,1.wav
18,esu-HL-1.wav,True,126.74169697012609,-0.12241281692122173,18,1,L,L1,esu,HL,1.wav
19,esu-HL-1.wav,True,114.22008279935748,-1.0228622275777441,19,1,L,L1,esu,HL,1.wav
20,esu-HL-1.wav,True,106.93503214897662,-1.5933528776275803,20,1,L,L1,esu,HL,1.wav
21,esu-HL-1.wav,True,103.6839628654677,-1.8606036502340209,21,1,L,L1,esu,HL,1.wav
22,esu-HL-1.wav,True,102.48020805759043,-1.9616883820518685,22,1,L,L1,esu,HL,1.wav
23,esu-HL-1.wav,True,100.89561683261651,-2.0965792324331756,23,1,L,L1,esu,HL,1.wav
24,esu-HL-1.wav,True,99.43071535544192,-2.223179290162679,24,1,L,L1,esu,HL,1.wav
25,esu-HL-1.wav,True,97.70625161279433,-2.3746235649443106,25,1,L,L1,esu,HL,1.wav
26,esu-HL-1.wav,True,94.00533034700155,-2.708873428046209,26,1,L,L1,esu,HL,1.wav
27,esu-HL-1.wav,True,84.31882459858568,-3.6502002741091863,27,1,L,L1,esu,HL,1.wav
28,esu-HL-1.wav,True,,,28,1,L,L1,esu,HL,1.wav
0,etsuto-LHH-3.wav,True,118.0188239239218,0.38077989329389744,0,0,L,L1,etsuto,LHH,3.wav
1,etsuto-LHH-3.wav,True,112.51672108436158,-0.032485532001707514,1,0,L,L1,etsuto,LHH,3.wav
2,etsuto-LHH-3.wav,True,112.29827916654745,-0.04930710549340378,2,0,L,L1,etsuto,LHH,3.wav
3,etsuto-LHH-3.wav,True,109.25844441871459,-0.2868533013230195,3,0,L,L1,etsuto,LHH,3.wav
4,etsuto-LHH-3.wav,True,107.01804395681303,-0.46619763682796067,4,0,L,L1,etsuto,LHH,3.wav
